"UnionTerritories","Year","Quarter","Brands","User_Count","User_Percentage"
"chandigarh","2019","3","Samsung","53606","20.0518"
"chandigarh","2019","3","Vivo","39957","14.9463"
"chandigarh","2019","3","Oppo","31459","11.7675"
"chandigarh","2019","3","Apple","22081","8.25961"
"chandigarh","2019","3","Realme","8500","3.17951"
"chandigarh","2019","3","OnePlus","8271","3.09385"
"chandigarh","2019","3","Motorola","6770","2.53238"
"chandigarh","2019","3","Huawei","4256","1.592"
"chandigarh","2019","3","Lenovo","3716","1.39001"
"chandigarh","2019","3","Others","24299","9.08928"
"chandigarh","2019","4","Xiaomi","69435","23.977"
"chandigarh","2019","4","Samsung","57981","20.0218"
"chandigarh","2019","4","Vivo","44605","15.4028"
"chandigarh","2019","4","Oppo","34871","12.0415"
"chandigarh","2019","4","Apple","23651","8.16706"
"chandigarh","2019","4","Realme","9610","3.31848"
"chandigarh","2019","4","OnePlus","8750","3.02151"
"chandigarh","2019","4","Motorola","6953","2.40098"
"chandigarh","2019","4","Huawei","4559","1.57429"
"chandigarh","2019","4","Lenovo","3777","1.30426"
"chandigarh","2019","4","Others","25398","8.77033"
"chandigarh","2020","1","Xiaomi","74599","23.8422"
"chandigarh","2020","1","Samsung","62236","19.8909"
"chandigarh","2020","1","Vivo","49864","15.9367"
"chandigarh","2020","1","Oppo","38691","12.3658"
"chandigarh","2020","1","Apple","25309","8.08886"
"chandigarh","2020","1","Realme","10759","3.43862"
"chandigarh","2020","1","OnePlus","9221","2.94707"
"chandigarh","2020","1","Motorola","7160","2.28837"
"chandigarh","2020","1","Huawei","4807","1.53634"
"chandigarh","2020","1","Lenovo","3862","1.23431"
"chandigarh","2020","1","Others","26379","8.43084"
"chandigarh","2020","2","Xiaomi","79401","23.6066"
"chandigarh","2020","2","Samsung","66732","19.84"
"chandigarh","2020","2","Vivo","55338","16.4525"
"chandigarh","2020","2","Oppo","42912","12.7581"
"chandigarh","2020","2","Apple","26562","7.89711"
"chandigarh","2020","2","Realme","11849","3.52281"
"chandigarh","2020","2","OnePlus","9516","2.82919"
"chandigarh","2020","2","Motorola","7308","2.17273"
"chandigarh","2020","2","Huawei","5057","1.50349"
"chandigarh","2020","2","HMD Global","3920","1.16545"
"chandigarh","2020","2","Others","27756","8.25209"
"chandigarh","2020","3","Xiaomi","84467","23.2956"
"chandigarh","2020","3","Samsung","72072","19.8771"
"chandigarh","2020","3","Vivo","61814","17.048"
"chandigarh","2020","3","Oppo","47234","13.0269"
"chandigarh","2020","3","Apple","28288","7.80169"
"chandigarh","2020","3","Realme","13210","3.64325"
"chandigarh","2020","3","OnePlus","9903","2.7312"
"chandigarh","2020","3","Motorola","7558","2.08446"
"chandigarh","2020","3","Huawei","5327","1.46916"
"chandigarh","2020","3","HMD Global","4168","1.14951"
"chandigarh","2020","3","Others","28547","7.87312"
"chandigarh","2020","4","Xiaomi","90201","23.0456"
"chandigarh","2020","4","Samsung","78159","19.969"
"chandigarh","2020","4","Vivo","68293","17.4483"
"chandigarh","2020","4","Oppo","51650","13.1962"
"chandigarh","2020","4","Apple","30593","7.81626"
"chandigarh","2020","4","Realme","14705","3.75701"
"chandigarh","2020","4","OnePlus","10462","2.67296"
"chandigarh","2020","4","Motorola","7780","1.98773"
"chandigarh","2020","4","Huawei","5641","1.44123"
"chandigarh","2020","4","HMD Global","4400","1.12416"
"chandigarh","2020","4","Others","29518","7.54161"
"chandigarh","2021","1","Xiaomi","96137","22.8899"
"chandigarh","2021","1","Samsung","83453","19.8699"
"chandigarh","2021","1","Vivo","74844","17.8201"
"chandigarh","2021","1","Oppo","56200","13.381"
"chandigarh","2021","1","Apple","32907","7.83504"
"chandigarh","2021","1","Realme","16641","3.96216"
"chandigarh","2021","1","OnePlus","10995","2.61787"
"chandigarh","2021","1","Motorola","7989","1.90215"
"chandigarh","2021","1","Huawei","5854","1.39382"
"chandigarh","2021","1","HMD Global","4591","1.0931"
"chandigarh","2021","1","Others","30387","7.23503"
"chandigarh","2021","2","Xiaomi","101761","22.6855"
"chandigarh","2021","2","Samsung","88362","19.6985"
"chandigarh","2021","2","Vivo","81826","18.2414"
"chandigarh","2021","2","Oppo","60671","13.5254"
"chandigarh","2021","2","Apple","35361","7.88302"
"chandigarh","2021","2","Realme","19398","4.32439"
"chandigarh","2021","2","OnePlus","11907","2.65442"
"chandigarh","2021","2","Motorola","8043","1.79302"
"chandigarh","2021","2","Huawei","5918","1.3193"
"chandigarh","2021","2","HMD Global","4599","1.02525"
"chandigarh","2021","2","Others","30726","6.84974"
"chandigarh","2021","3","Xiaomi","107815","22.4398"
"chandigarh","2021","3","Samsung","92724","19.2989"
"chandigarh","2021","3","Vivo","89865","18.7038"
"chandigarh","2021","3","Oppo","66039","13.7449"
"chandigarh","2021","3","Apple","37880","7.88406"
"chandigarh","2021","3","Realme","22934","4.77331"
"chandigarh","2021","3","OnePlus","13193","2.74589"
"chandigarh","2021","3","Motorola","8166","1.69961"
"chandigarh","2021","3","Huawei","5900","1.22798"
"chandigarh","2021","3","HMD Global","4496","0.935764"
"chandigarh","2021","3","Others","31451","6.54598"
"chandigarh","2021","4","Xiaomi","112958","22.0581"
"chandigarh","2021","4","Vivo","97127","18.9667"
"chandigarh","2021","4","Samsung","97097","18.9609"
"chandigarh","2021","4","Oppo","71275","13.9184"
"chandigarh","2021","4","Apple","41698","8.14268"
"chandigarh","2021","4","Realme","27098","5.29163"
"chandigarh","2021","4","OnePlus","14380","2.80809"
"chandigarh","2021","4","Motorola","8240","1.60909"
"chandigarh","2021","4","Huawei","5797","1.13202"
"chandigarh","2021","4","HMD Global","4511","0.880896"
"chandigarh","2021","4","Others","31911","6.2315"
"chandigarh","2022","1","Xiaomi","118077","21.8036"
"chandigarh","2022","1","Vivo","103673","19.1438"
"chandigarh","2022","1","Samsung","100254","18.5125"
"chandigarh","2022","1","Oppo","76330","14.0948"
"chandigarh","2022","1","Apple","45080","8.32427"
"chandigarh","2022","1","Realme","30911","5.70789"
"chandigarh","2022","1","OnePlus","15554","2.87213"
"chandigarh","2022","1","Motorola","8378","1.54704"
"chandigarh","2022","1","Huawei","5812","1.07322"
"chandigarh","2022","1","HMD Global","4529","0.836305"
"chandigarh","2022","1","Others","32951","6.08458"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Xiaomi","12990","24.3907"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Samsung","10123","19.0075"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Vivo","8579","16.1084"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Oppo","5623","10.558"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Realme","3008","5.64798"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Lenovo","1714","3.2183"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Motorola","1527","2.86717"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Apple","1436","2.69631"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","OnePlus","1090","2.04664"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Micromax","847","1.59037"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","1","Others","6321","11.8686"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Xiaomi","17620","24.6578"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Samsung","13325","18.6473"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Vivo","12204","17.0786"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Oppo","7585","10.6146"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Realme","3991","5.5851"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Lenovo","2117","2.96258"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Motorola","1935","2.70788"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Apple","1812","2.53576"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","OnePlus","1328","1.85843"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Huawei","1132","1.58415"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","2","Others","8409","11.7678"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Xiaomi","22407","24.3271"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Samsung","17165","18.6359"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Vivo","16781","18.219"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Oppo","9875","10.7212"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Realme","5100","5.53704"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Lenovo","2523","2.73921"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Motorola","2378","2.58178"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Apple","2146","2.3299"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","OnePlus","1545","1.6774"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Huawei","1514","1.64374"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","3","Others","10673","11.5876"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Xiaomi","28477","24.4415"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Vivo","22409","19.2334"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Samsung","21520","18.4704"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Oppo","12699","10.8994"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Realme","6489","5.56943"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Lenovo","2931","2.51564"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Motorola","2811","2.41265"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Apple","2546","2.1852"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Huawei","2029","1.74147"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","OnePlus","1795","1.54063"
"dadra-&-nagar-haveli-&-daman-&-diu","2018","4","Others","12805","10.9904"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Xiaomi","34460","24.5211"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Vivo","27883","19.841"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Samsung","25799","18.3581"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Oppo","15701","11.1725"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Realme","7762","5.5233"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Lenovo","3296","2.34537"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Motorola","3175","2.25927"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Apple","2928","2.08351"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Huawei","2510","1.78607"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","OnePlus","2058","1.46444"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","1","Others","14960","10.6453"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","Xiaomi","38996","24.5907"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","Vivo","32183","20.2945"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","Samsung","28908","18.2293"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","Oppo","18106","11.4176"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","Realme","8833","5.57006"
"dadra-&-nagar-haveli-&-daman-&-diu","2019","2","Lenovo","3513","2.21529"
