State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
assam,2018,1,Recharge & bill payments,632092,93491200
assam,2018,1,Peer-to-peer payments,318025,993525000
assam,2018,1,Merchant payments,40482,34501600
assam,2018,1,Financial Services,18172,4936860
assam,2018,1,Others,48110,31349600
assam,2018,2,Recharge & bill payments,984160,174427000
assam,2018,2,Peer-to-peer payments,530781,2064310000
assam,2018,2,Merchant payments,79307,73366300
assam,2018,2,Financial Services,22773,7051500
assam,2018,2,Others,46852,31425800
assam,2018,3,Recharge & bill payments,1275136,254569000
assam,2018,3,Peer-to-peer payments,843571,3424140000
assam,2018,3,Merchant payments,159532,96783800
assam,2018,3,Financial Services,22677,4741120
assam,2018,3,Others,50935,30904200
assam,2018,4,Recharge & bill payments,1703488,317661000
assam,2018,4,Peer-to-peer payments,1279089,5284780000
assam,2018,4,Merchant payments,667293,240563000
assam,2018,4,Financial Services,28035,6331910
assam,2018,4,Others,56267,38689800
assam,2019,1,Recharge & bill payments,1993220,400282000
assam,2019,1,Peer-to-peer payments,1976310,7291430000
assam,2019,1,Merchant payments,494871,266645000
assam,2019,1,Financial Services,20162,4612450
assam,2019,1,Others,48442,39127500
assam,2019,2,Recharge & bill payments,2512932,539316000
assam,2019,2,Peer-to-peer payments,2293770,10035200000
assam,2019,2,Merchant payments,573646,326845000
assam,2019,2,Financial Services,13654,4037220
assam,2019,2,Others,60927,49538700
assam,2019,3,Peer-to-peer payments,2713539,11835800000
assam,2019,3,Recharge & bill payments,2645302,639885000
assam,2019,3,Merchant payments,513728,421380000
assam,2019,3,Financial Services,8606,6403460
assam,2019,3,Others,61396,46973700
assam,2019,4,Peer-to-peer payments,3222143,14083300000
assam,2019,4,Recharge & bill payments,2937800,704119000
assam,2019,4,Merchant payments,544053,456318000
assam,2019,4,Financial Services,9621,3492260
assam,2019,4,Others,46893,34707800
assam,2020,1,Peer-to-peer payments,4058740,18977400000
assam,2020,1,Recharge & bill payments,3897975,971723000
assam,2020,1,Merchant payments,792646,675424000
assam,2020,1,Financial Services,10173,7054330
assam,2020,1,Others,49326,36781400
assam,2020,2,Recharge & bill payments,6045321,1612520000
assam,2020,2,Peer-to-peer payments,3648386,17358400000
assam,2020,2,Merchant payments,742400,749018000
assam,2020,2,Financial Services,19814,18130000
assam,2020,2,Others,49278,28255200
assam,2020,3,Peer-to-peer payments,5637893,26646600000
assam,2020,3,Recharge & bill payments,5292154,1627280000
assam,2020,3,Merchant payments,1383230,1492480000
assam,2020,3,Financial Services,24954,28453000
assam,2020,3,Others,59480,36605900
assam,2020,4,Peer-to-peer payments,7538478,36013300000
assam,2020,4,Recharge & bill payments,5383505,1662190000
assam,2020,4,Merchant payments,2392184,2466910000
assam,2020,4,Financial Services,29764,32314800
assam,2020,4,Others,79523,51901600
assam,2021,1,Peer-to-peer payments,9449096,45476100000
assam,2021,1,Recharge & bill payments,6494111,2103020000
assam,2021,1,Merchant payments,3459132,3657260000
assam,2021,1,Financial Services,34049,41291000
assam,2021,1,Others,75672,48814700
assam,2021,2,Peer-to-peer payments,11668399,51521400000
assam,2021,2,Recharge & bill payments,9058005,2657680000
assam,2021,2,Merchant payments,4562669,4914750000
assam,2021,2,Financial Services,49671,46106000
assam,2021,2,Others,94161,52549900
assam,2021,3,Peer-to-peer payments,15617592,64131800000
assam,2021,3,Recharge & bill payments,10284267,3248360000
assam,2021,3,Merchant payments,7431371,8208710000
assam,2021,3,Financial Services,39479,43889800
assam,2021,3,Others,131732,67715000
assam,2021,4,Peer-to-peer payments,21393962,86801600000
assam,2021,4,Merchant payments,12895755,13378800000
assam,2021,4,Recharge & bill payments,11484376,3842000000
assam,2021,4,Financial Services,60724,65456500
assam,2021,4,Others,185544,97116800
assam,2022,1,Peer-to-peer payments,27156085,1.09E+11
assam,2022,1,Merchant payments,19011883,18833100000
assam,2022,1,Recharge & bill payments,12474674,4424040000
assam,2022,1,Financial Services,68432,73258000
assam,2022,1,Others,178812,94659200
assam,2022,2,Peer-to-peer payments,33879530,1.24E+11
assam,2022,2,Merchant payments,28377534,24333300000
assam,2022,2,Recharge & bill payments,13858113,4814700000
assam,2022,2,Financial Services,50785,55549200
assam,2022,2,Others,168763,77624100
assam,2022,3,Peer-to-peer payments,37000266,1.27E+11
assam,2022,3,Merchant payments,34935460,28790000000
assam,2022,3,Recharge & bill payments,13974568,5295140000
assam,2022,3,Financial Services,65066,62882400
assam,2022,3,Others,138451,76363600
assam,2022,4,Peer-to-peer payments,44828832,1.51E+11
assam,2022,4,Merchant payments,43605784,36033800000
assam,2022,4,Recharge & bill payments,15344794,5773980000
assam,2022,4,Financial Services,74414,75960400
assam,2022,4,Others,127443,76370100
bihar,2018,1,Recharge & bill payments,3159922,375559000
bihar,2018,1,Peer-to-peer payments,2052089,5295350000
bihar,2018,1,Financial Services,194295,33999400
bihar,2018,1,Merchant payments,138885,139828000
bihar,2018,1,Others,279111,201025000
bihar,2018,2,Recharge & bill payments,4346849,700650000
bihar,2018,2,Peer-to-peer payments,3447898,12141400000
bihar,2018,2,Merchant payments,311487,318572000
bihar,2018,2,Financial Services,267433,45332500
bihar,2018,2,Others,258711,300128000
bihar,2018,3,Peer-to-peer payments,8893764,18695900000
bihar,2018,3,Recharge & bill payments,4401439,804061000
bihar,2018,3,Merchant payments,586862,367609000
bihar,2018,3,Financial Services,274510,33276500
bihar,2018,3,Others,211229,234969000
bihar,2018,4,Peer-to-peer payments,8094296,26224300000
bihar,2018,4,Recharge & bill payments,5469096,986311000
bihar,2018,4,Merchant payments,1680664,848969000
bihar,2018,4,Financial Services,237247,36199400
bihar,2018,4,Others,251098,302214000
bihar,2019,1,Peer-to-peer payments,16807040,38824100000
bihar,2019,1,Recharge & bill payments,7036367,1333690000
bihar,2019,1,Merchant payments,2055267,1025000000
bihar,2019,1,Financial Services,204689,28599500
bihar,2019,1,Others,252871,291465000
bihar,2019,2,Peer-to-peer payments,15837449,58381300000
bihar,2019,2,Recharge & bill payments,9279442,1996800000
bihar,2019,2,Merchant payments,4365465,2308150000
bihar,2019,2,Financial Services,129603,63338100
bihar,2019,2,Others,348520,382865000
bihar,2019,3,Peer-to-peer payments,15446119,61831800000
bihar,2019,3,Recharge & bill payments,9115040,2140570000
bihar,2019,3,Merchant payments,7206001,3413490000
bihar,2019,3,Financial Services,89997,20145500
bihar,2019,3,Others,282743,286804000
bihar,2019,4,Peer-to-peer payments,26337842,86340600000
bihar,2019,4,Recharge & bill payments,11358597,2649620000
bihar,2019,4,Merchant payments,5519582,4177570000
bihar,2019,4,Financial Services,100192,18816000
bihar,2019,4,Others,214101,126788000
bihar,2020,1,Peer-to-peer payments,23163922,99873700000
bihar,2020,1,Recharge & bill payments,13837430,3680590000
bihar,2020,1,Merchant payments,7822567,5562690000
bihar,2020,1,Financial Services,57233,23954800
bihar,2020,1,Others,200663,115928000
bihar,2020,2,Peer-to-peer payments,26572651,1.16E+11
bihar,2020,2,Recharge & bill payments,19522564,5642290000
bihar,2020,2,Merchant payments,7011681,6760400000
bihar,2020,2,Financial Services,73119,54077800
bihar,2020,2,Others,206727,105378000
bihar,2020,3,Peer-to-peer payments,37294332,1.54E+11
bihar,2020,3,Recharge & bill payments,19027978,6313780000
bihar,2020,3,Merchant payments,14777337,13111700000
bihar,2020,3,Financial Services,104135,81355500
bihar,2020,3,Others,299966,157309000
bihar,2020,4,Peer-to-peer payments,49432098,2.08E+11
bihar,2020,4,Merchant payments,26750991,23185600000
bihar,2020,4,Recharge & bill payments,19908687,6926960000
bihar,2020,4,Financial Services,119416,100786000
bihar,2020,4,Others,380481,207714000
bihar,2021,1,Peer-to-peer payments,58566582,2.42E+11
bihar,2021,1,Merchant payments,33959313,30171100000
bihar,2021,1,Recharge & bill payments,21974086,8505460000
bihar,2021,1,Financial Services,124277,112950000
bihar,2021,1,Others,308219,170787000
bihar,2021,2,Peer-to-peer payments,78694099,3.20E+11
bihar,2021,2,Merchant payments,44686786,43458900000
bihar,2021,2,Recharge & bill payments,31646149,11030800000
bihar,2021,2,Financial Services,149791,116086000
bihar,2021,2,Others,426797,215721000
bihar,2021,3,Peer-to-peer payments,92785704,3.32E+11
bihar,2021,3,Merchant payments,64094961,53849700000
bihar,2021,3,Recharge & bill payments,30081746,11327300000
bihar,2021,3,Financial Services,135748,130349000
bihar,2021,3,Others,572954,241260000
bihar,2021,4,Peer-to-peer payments,117340712,4.24E+11
bihar,2021,4,Merchant payments,95992559,81729100000
bihar,2021,4,Recharge & bill payments,30824177,13438600000
bihar,2021,4,Financial Services,186298,173358000
bihar,2021,4,Others,783199,365401000
bihar,2022,1,Peer-to-peer payments,138085265,5.00E+11
bihar,2022,1,Merchant payments,114892163,95507700000
bihar,2022,1,Recharge & bill payments,30545266,15431600000
bihar,2022,1,Financial Services,169722,148089000
bihar,2022,1,Others,698018,299485000
bihar,2022,2,Peer-to-peer payments,164119431,6.10E+11
bihar,2022,2,Merchant payments,158289353,1.26E+11
bihar,2022,2,Recharge & bill payments,36950622,17225700000
bihar,2022,2,Financial Services,124199,116204000
bihar,2022,2,Others,661424,247541000
bihar,2022,3,Merchant payments,198273336,1.38E+11
bihar,2022,3,Peer-to-peer payments,192304951,6.33E+11
bihar,2022,3,Recharge & bill payments,46044353,20417800000
bihar,2022,3,Financial Services,179533,161987000
bihar,2022,3,Others,565212,245905000
bihar,2022,4,Merchant payments,243777692,1.73E+11
bihar,2022,4,Peer-to-peer payments,225487662,7.40E+11
bihar,2022,4,Recharge & bill payments,47054083,22729600000
bihar,2022,4,Financial Services,205989,199208000
bihar,2022,4,Others,559223,289000000
chhattisgarh,2018,1,Recharge & bill payments,1177618,206519000
chhattisgarh,2018,1,Peer-to-peer payments,550697,1838240000
chhattisgarh,2018,1,Merchant payments,42411,39708500
chhattisgarh,2018,1,Financial Services,33002,7350620
chhattisgarh,2018,1,Others,87786,57339500
chhattisgarh,2018,2,Recharge & bill payments,1643461,351710000
chhattisgarh,2018,2,Peer-to-peer payments,933066,3703110000
chhattisgarh,2018,2,Merchant payments,118438,129968000
chhattisgarh,2018,2,Financial Services,40299,9405940
chhattisgarh,2018,2,Others,80892,69972500
chhattisgarh,2018,3,Recharge & bill payments,1911374,443461000
chhattisgarh,2018,3,Peer-to-peer payments,1619886,5647950000
chhattisgarh,2018,3,Merchant payments,220572,145342000
chhattisgarh,2018,3,Financial Services,31927,6195180
chhattisgarh,2018,3,Others,75845,59360100
chhattisgarh,2018,4,Recharge & bill payments,2438959,554514000
chhattisgarh,2018,4,Peer-to-peer payments,2342713,8450110000
chhattisgarh,2018,4,Merchant payments,458091,331843000
chhattisgarh,2018,4,Financial Services,42199,9709810
chhattisgarh,2018,4,Others,83882,70240100
chhattisgarh,2019,1,Peer-to-peer payments,4068056,11417400000
chhattisgarh,2019,1,Recharge & bill payments,2997095,679459000
chhattisgarh,2019,1,Merchant payments,710047,374736000
chhattisgarh,2019,1,Financial Services,33835,5075420
chhattisgarh,2019,1,Others,78636,67920000
chhattisgarh,2019,2,Peer-to-peer payments,4350167,15410000000
chhattisgarh,2019,2,Recharge & bill payments,3435305,855753000
chhattisgarh,2019,2,Merchant payments,1483870,654412000
chhattisgarh,2019,2,Financial Services,22563,4237630
chhattisgarh,2019,2,Others,98040,77914900
chhattisgarh,2019,3,Peer-to-peer payments,5021844,17584600000
chhattisgarh,2019,3,Recharge & bill payments,4335851,1069470000
chhattisgarh,2019,3,Merchant payments,2772084,1074260000
chhattisgarh,2019,3,Financial Services,16452,4543000
chhattisgarh,2019,3,Others,96880,70361600
chhattisgarh,2019,4,Peer-to-peer payments,7241974,24112100000
chhattisgarh,2019,4,Recharge & bill payments,5112337,1257370000
chhattisgarh,2019,4,Merchant payments,3852716,1720930000
chhattisgarh,2019,4,Financial Services,14974,4665760
chhattisgarh,2019,4,Others,83757,48745300
chhattisgarh,2020,1,Peer-to-peer payments,8109789,28723900000
chhattisgarh,2020,1,Recharge & bill payments,6400067,1689000000
chhattisgarh,2020,1,Merchant payments,4923214,2393810000
chhattisgarh,2020,1,Financial Services,12424,7378560
chhattisgarh,2020,1,Others,78497,46557400
chhattisgarh,2020,2,Recharge & bill payments,8366200,2504360000
chhattisgarh,2020,2,Peer-to-peer payments,7216219,27351800000
chhattisgarh,2020,2,Merchant payments,3158417,2361250000
chhattisgarh,2020,2,Financial Services,19986,17814500
chhattisgarh,2020,2,Others,60103,33149800
chhattisgarh,2020,3,Peer-to-peer payments,9734445,34661200000
chhattisgarh,2020,3,Recharge & bill payments,8705513,2790720000
chhattisgarh,2020,3,Merchant payments,5591916,3990180000
chhattisgarh,2020,3,Financial Services,34893,39141100
chhattisgarh,2020,3,Others,81772,45538300
chhattisgarh,2020,4,Peer-to-peer payments,14257312,50812300000
chhattisgarh,2020,4,Merchant payments,11677743,8238390000
chhattisgarh,2020,4,Recharge & bill payments,9423324,3033920000
chhattisgarh,2020,4,Financial Services,41308,48082300
chhattisgarh,2020,4,Others,129949,82280600
chhattisgarh,2021,1,Peer-to-peer payments,15621154,55638900000
chhattisgarh,2021,1,Merchant payments,15222763,10661400000
chhattisgarh,2021,1,Recharge & bill payments,8456094,3000980000
chhattisgarh,2021,1,Financial Services,37395,40387600
chhattisgarh,2021,1,Others,99031,68111600
chhattisgarh,2021,2,Peer-to-peer payments,18387345,62134100000
chhattisgarh,2021,2,Merchant payments,15369311,12828600000
chhattisgarh,2021,2,Recharge & bill payments,10764784,3640690000
chhattisgarh,2021,2,Financial Services,40213,39620300
chhattisgarh,2021,2,Others,127767,85809100
chhattisgarh,2021,3,Merchant payments,27552743,19905600000
chhattisgarh,2021,3,Peer-to-peer payments,25447410,80506900000
chhattisgarh,2021,3,Recharge & bill payments,11039088,4045490000
chhattisgarh,2021,3,Financial Services,38817,48855700
chhattisgarh,2021,3,Others,159880,99286200
chhattisgarh,2021,4,Merchant payments,40526025,29283700000
