"State","Year","Quarter","Brands","User_Count","User_Percentage"
"arunachal-pradesh","2021","4","Vivo","74157","23.5461"
"arunachal-pradesh","2021","4","Xiaomi","72002","22.8618"
"arunachal-pradesh","2021","4","Samsung","54367","17.2624"
"arunachal-pradesh","2021","4","Oppo","48973","15.5497"
"arunachal-pradesh","2021","4","Realme","31777","10.0897"
"arunachal-pradesh","2021","4","Apple","6342","2.01369"
"arunachal-pradesh","2021","4","OnePlus","3900","1.23832"
"arunachal-pradesh","2021","4","Gionee","2500","0.793792"
"arunachal-pradesh","2021","4","Huawei","2496","0.792522"
"arunachal-pradesh","2021","4","Motorola","2316","0.735369"
"arunachal-pradesh","2021","4","Others","16114","5.11647"
"arunachal-pradesh","2022","1","Vivo","78763","23.4876"
"arunachal-pradesh","2022","1","Xiaomi","75927","22.6419"
"arunachal-pradesh","2022","1","Samsung","56027","16.7076"
"arunachal-pradesh","2022","1","Oppo","52153","15.5523"
"arunachal-pradesh","2022","1","Realme","36430","10.8636"
"arunachal-pradesh","2022","1","Apple","7110","2.12024"
"arunachal-pradesh","2022","1","OnePlus","4423","1.31896"
"arunachal-pradesh","2022","1","Huawei","2515","0.749987"
"arunachal-pradesh","2022","1","Gionee","2482","0.740147"
"arunachal-pradesh","2022","1","Infinix","2358","0.703169"
"arunachal-pradesh","2022","1","Others","17151","5.11453"
"assam","2018","1","Xiaomi","101793","26.4235"
"assam","2018","1","Samsung","61603","15.9909"
"assam","2018","1","Vivo","50781","13.1818"
"assam","2018","1","Oppo","40778","10.5852"
"assam","2018","1","Realme","26387","6.84955"
"assam","2018","1","Lenovo","9294","2.41254"
"assam","2018","1","Gionee","9094","2.36062"
"assam","2018","1","Motorola","8922","2.31598"
"assam","2018","1","Apple","8319","2.15945"
"assam","2018","1","Asus","7905","2.05198"
"assam","2018","1","Others","60361","15.6685"
"assam","2018","2","Xiaomi","152839","26.7647"
"assam","2018","2","Samsung","89734","15.714"
"assam","2018","2","Vivo","80455","14.0891"
"assam","2018","2","Oppo","62688","10.9777"
"assam","2018","2","Realme","38933","6.81784"
"assam","2018","2","Lenovo","13092","2.29263"
"assam","2018","2","Motorola","12862","2.25236"
"assam","2018","2","Gionee","12545","2.19685"
"assam","2018","2","Asus","11093","1.94258"
"assam","2018","2","Apple","11044","1.93399"
"assam","2018","2","Others","85761","15.0182"
"assam","2018","3","Xiaomi","210185","26.7819"
"assam","2018","3","Samsung","125434","15.9829"
"assam","2018","3","Vivo","119540","15.2319"
"assam","2018","3","Oppo","88721","11.3049"
"assam","2018","3","Realme","53089","6.76464"
"assam","2018","3","Motorola","17022","2.16895"
"assam","2018","3","Gionee","17020","2.1687"
"assam","2018","3","Lenovo","15831","2.0172"
"assam","2018","3","Asus","14498","1.84734"
"assam","2018","3","Apple","13471","1.71648"
"assam","2018","3","Others","109991","14.0151"
"assam","2018","4","Xiaomi","277115","26.6656"
"assam","2018","4","Vivo","169404","16.3011"
"assam","2018","4","Samsung","167786","16.1454"
"assam","2018","4","Oppo","122447","11.7826"
"assam","2018","4","Realme","70255","6.76035"
"assam","2018","4","Motorola","21507","2.06953"
"assam","2018","4","Lenovo","20275","1.95098"
"assam","2018","4","Gionee","20028","1.92721"
"assam","2018","4","Asus","19175","1.84513"
"assam","2018","4","Huawei","17882","1.72071"
