"UnionTerritories","Year","Quarter","District","Transaction_Count","Transaction_Amount"
"delhi","2022","1","east district","13032988","19771700000"
"delhi","2022","1","north west district","14899833","28208900000"
"delhi","2022","1","north district","14076598","25099300000"
"delhi","2022","2","south district","17358990","21493200000"
"delhi","2022","2","central district","159034619","232912000000"
"delhi","2022","2","new delhi district","87939392","129418000000"
"delhi","2022","2","west district","28008086","50563100000"
"delhi","2022","2","south west district","16899542","26516000000"
"delhi","2022","2","south east delhi district","29302567","40564900000"
"delhi","2022","2","shahdara district","10060246","22195100000"
"delhi","2022","2","north east district","9992930","20477400000"
"delhi","2022","2","east district","16485686","23141400000"
"delhi","2022","2","north west district","18057230","33092500000"
"delhi","2022","2","north district","17494896","29482100000"
"delhi","2022","3","south district","18234782","21732500000"
"delhi","2022","3","central district","243139962","327192000000"
"delhi","2022","3","new delhi district","58178476","76558300000"
"delhi","2022","3","west district","30595250","52638500000"
"delhi","2022","3","south west district","17276601","26324700000"
"delhi","2022","3","south east delhi district","30215862","40627500000"
"delhi","2022","3","shahdara district","10220528","21361300000"
"delhi","2022","3","north east district","10077560","19808600000"
"delhi","2022","3","east district","21104584","28881700000"
"delhi","2022","3","north west district","18316480","32675000000"
"delhi","2022","3","north district","18232076","29812600000"
"delhi","2022","4","south district","19537728","23391900000"
"delhi","2022","4","central district","280960656","386108000000"
"delhi","2022","4","new delhi district","45094468","58157000000"
"delhi","2022","4","west district","32293188","56453500000"
"delhi","2022","4","south west district","18499176","28102900000"
"delhi","2022","4","south east delhi district","33116019","44231400000"
"delhi","2022","4","shahdara district","11420073","24438500000"
"delhi","2022","4","north east district","11345971","23377800000"
"delhi","2022","4","east district","23683133","33122100000"
"delhi","2022","4","north west district","19859098","35599200000"
"delhi","2022","4","north district","19393947","31932800000"
"jammu-&-kashmir","2018","1","muzaffarabad district","13","14559.8"
"jammu-&-kashmir","2018","1","doda district","4108","7065930"
"jammu-&-kashmir","2018","1","samba district","14795","21534900"
"jammu-&-kashmir","2018","1","mirpur district","1320","3052180"
"jammu-&-kashmir","2018","1","srinagar district","47285","62676300"
"jammu-&-kashmir","2018","1","baramulla district","83775","44215000"
"jammu-&-kashmir","2018","1","jammu district","81381","127453000"
"jammu-&-kashmir","2018","1","ganderbal district","20571","9107650"
"jammu-&-kashmir","2018","1","udhampur district","17620","31451900"
"jammu-&-kashmir","2018","1","bandipore district","38208","11885500"
"jammu-&-kashmir","2018","1","reasi district","7433","12816200"
"jammu-&-kashmir","2018","1","shopian district","5083","3598500"
"jammu-&-kashmir","2018","1","poonch district","398963","509120000"
"jammu-&-kashmir","2018","1","kathua district","17643","22353800"
"jammu-&-kashmir","2018","1","kishtwar district","2054","3514300"
"jammu-&-kashmir","2018","1","pulwama district","35793","24777500"
"jammu-&-kashmir","2018","1","ramban district","5326","7284250"
"jammu-&-kashmir","2018","1","rajouri district","10199","16045700"
"jammu-&-kashmir","2018","1","kulgam district","23587","9213670"
"jammu-&-kashmir","2018","1","budgam district","50748","36218500"
"jammu-&-kashmir","2018","1","anantnag district","64478","24885700"
"jammu-&-kashmir","2018","1","kupwara district","11185","17085900"
"jammu-&-kashmir","2018","2","muzaffarabad district","75","368823"
"jammu-&-kashmir","2018","2","doda district","7631","16114400"
"jammu-&-kashmir","2018","2","samba district","20917","36387000"
"jammu-&-kashmir","2018","2","mirpur district","1885","4089200"
"jammu-&-kashmir","2018","2","srinagar district","92244","140893000"
"jammu-&-kashmir","2018","2","baramulla district","188100","100056000"
"jammu-&-kashmir","2018","2","jammu district","112434","232233000"
"jammu-&-kashmir","2018","2","ganderbal district","41415","24295300"
"jammu-&-kashmir","2018","2","udhampur district","27804","60326700"
"jammu-&-kashmir","2018","2","bandipore district","64888","26799300"
"jammu-&-kashmir","2018","2","reasi district","11296","27106600"
"jammu-&-kashmir","2018","2","shopian district","8017","8454710"
"jammu-&-kashmir","2018","2","poonch district","891298","1627870000"
"jammu-&-kashmir","2018","2","kathua district","25411","39744900"
"jammu-&-kashmir","2018","2","kishtwar district","3797","10312100"
"jammu-&-kashmir","2018","2","pulwama district","54034","53382800"
"jammu-&-kashmir","2018","2","ramban district","7715","14388200"
"jammu-&-kashmir","2018","2","rajouri district","17110","40023700"
"jammu-&-kashmir","2018","2","kulgam district","30822","17711000"
"jammu-&-kashmir","2018","2","budgam district","89823","77122200"
"jammu-&-kashmir","2018","2","anantnag district","70838","43529500"
"jammu-&-kashmir","2018","2","kupwara district","28772","49999700"
"jammu-&-kashmir","2018","3","muzaffarabad district","211","581879"
"jammu-&-kashmir","2018","3","doda district","12645","34027600"
"jammu-&-kashmir","2018","3","samba district","28728","62913600"
"jammu-&-kashmir","2018","3","mirpur district","2789","7804800"
"jammu-&-kashmir","2018","3","srinagar district","154314","270406000"
