"State","Year","Quarter","District","Transaction_Count","Transaction_Amount"
"arunachal-pradesh","2019","1","siang district","1282","2552680"
"arunachal-pradesh","2019","1","lower siang district","3565","6923300"
"arunachal-pradesh","2019","1","kra daadi district","1070","3797180"
"arunachal-pradesh","2019","1","changlang district","17589","40239100"
"arunachal-pradesh","2019","1","pakke kessang district","545","1682920"
"arunachal-pradesh","2019","1","dibang valley district","102","301591"
"arunachal-pradesh","2019","1","west kameng district","34289","101334000"
"arunachal-pradesh","2019","1","shi yomi district","19","212990"
"arunachal-pradesh","2019","1","east siang district","15621","39284400"
"arunachal-pradesh","2019","1","upper subansiri district","3880","14105500"
"arunachal-pradesh","2019","1","east kameng district","2688","9107600"
"arunachal-pradesh","2019","1","lohit district","15896","42834800"
"arunachal-pradesh","2019","1","lepa rada district","1523","4054530"
"arunachal-pradesh","2019","1","tawang district","13102","39489800"
"arunachal-pradesh","2019","1","namsai district","8600","20065500"
"arunachal-pradesh","2019","2","lower dibang valley district","5819","13737200"
"arunachal-pradesh","2019","2","lower subansiri district","5579","14747000"
"arunachal-pradesh","2019","2","longding district","6744","23464000"
"arunachal-pradesh","2019","2","west siang district","8041","24549800"
"arunachal-pradesh","2019","2","kamle district","414","1136780"
"arunachal-pradesh","2019","2","upper siang district","1079","3993680"
"arunachal-pradesh","2019","2","tirap district","6868","18633800"
"arunachal-pradesh","2019","2","papum pare district","86433","246641000"
"arunachal-pradesh","2019","2","kurung kumey district","1427","4036510"
"arunachal-pradesh","2019","2","anjaw district","2473","5220590"
"arunachal-pradesh","2019","2","siang district","1654","5373180"
"arunachal-pradesh","2019","2","lower siang district","3791","7075960"
"arunachal-pradesh","2019","2","kra daadi district","1447","4315350"
"arunachal-pradesh","2019","2","changlang district","18631","48891000"
"arunachal-pradesh","2019","2","pakke kessang district","687","1750140"
"arunachal-pradesh","2019","2","dibang valley district","98","214967"
"arunachal-pradesh","2019","2","west kameng district","37430","122521000"
"arunachal-pradesh","2019","2","shi yomi district","13","65209.4"
"arunachal-pradesh","2019","2","east siang district","16494","46549900"
"arunachal-pradesh","2019","2","upper subansiri district","4827","18395800"
"arunachal-pradesh","2019","2","east kameng district","2309","8996400"
"arunachal-pradesh","2019","2","lohit district","18693","48893700"
"arunachal-pradesh","2019","2","lepa rada district","2108","5045600"
"arunachal-pradesh","2019","2","tawang district","15960","55915800"
"arunachal-pradesh","2019","2","namsai district","9637","22491400"
"arunachal-pradesh","2019","3","lower dibang valley district","8405","15177900"
"arunachal-pradesh","2019","3","lower subansiri district","8828","21060000"
"arunachal-pradesh","2019","3","longding district","10269","26620400"
"arunachal-pradesh","2019","3","west siang district","11889","30014800"
"arunachal-pradesh","2019","3","kamle district","677","968784"
"arunachal-pradesh","2019","3","upper siang district","1419","3927440"
"arunachal-pradesh","2019","3","tirap district","11249","21737800"
"arunachal-pradesh","2019","3","papum pare district","117940","301518000"
"arunachal-pradesh","2019","3","kurung kumey district","1579","3674800"
"arunachal-pradesh","2019","3","anjaw district","4230","9665380"
"arunachal-pradesh","2019","3","siang district","2640","6888800"
"arunachal-pradesh","2019","3","lower siang district","5348","9507510"
"arunachal-pradesh","2019","3","kra daadi district","2187","5520850"
"arunachal-pradesh","2019","3","changlang district","29218","58354800"
"arunachal-pradesh","2019","3","pakke kessang district","977","2145840"
"arunachal-pradesh","2019","3","dibang valley district","202","675910"
"arunachal-pradesh","2019","3","west kameng district","53939","147186000"
"arunachal-pradesh","2019","3","shi yomi district","27","30367.8"
"arunachal-pradesh","2019","3","east siang district","22611","58040100"
"arunachal-pradesh","2019","3","upper subansiri district","7803","22099600"
"arunachal-pradesh","2019","3","east kameng district","3814","10631300"
"arunachal-pradesh","2019","3","lohit district","24505","54539500"
"arunachal-pradesh","2019","3","lepa rada district","2928","4930340"
"arunachal-pradesh","2019","3","tawang district","24097","72221000"
"arunachal-pradesh","2019","3","namsai district","13453","25507600"
"arunachal-pradesh","2019","4","lower dibang valley district","10376","21103100"
"arunachal-pradesh","2019","4","lower subansiri district","11806","29634400"
"arunachal-pradesh","2019","4","longding district","11018","29245000"
"arunachal-pradesh","2019","4","west siang district","14581","39460300"
"arunachal-pradesh","2019","4","kamle district","999","1620920"
"arunachal-pradesh","2019","4","upper siang district","4165","12739600"
"arunachal-pradesh","2019","4","tirap district","16459","38467800"
"arunachal-pradesh","2019","4","papum pare district","143272","378838000"
"arunachal-pradesh","2019","4","kurung kumey district","1343","4526790"
"arunachal-pradesh","2019","4","anjaw district","5417","11888000"
"arunachal-pradesh","2019","4","siang district","4756","8833700"
"arunachal-pradesh","2019","4","lower siang district","6628","11985900"
"arunachal-pradesh","2019","4","kra daadi district","2830","7804940"
"arunachal-pradesh","2019","4","changlang district","33963","71875000"
"arunachal-pradesh","2019","4","pakke kessang district","1194","2287740"
"arunachal-pradesh","2019","4","dibang valley district","267","1240490"
"arunachal-pradesh","2019","4","west kameng district","66740","198206000"
"arunachal-pradesh","2019","4","shi yomi district","232","170773"
"arunachal-pradesh","2019","4","east siang district","26605","72075300"
"arunachal-pradesh","2019","4","upper subansiri district","9285","28319800"
"arunachal-pradesh","2019","4","east kameng district","5646","19408700"
"arunachal-pradesh","2019","4","lohit district","29281","67502300"
