"UnionTerritories","Year","Quarter","Transaction_type","Transaction_count","Transaction_amount"
"delhi","2020","3","Recharge & bill payments","13448341","12883200000"
"delhi","2020","3","Financial Services","85689","114342000"
"delhi","2020","3","Others","485401","234194000"
"delhi","2020","4","Merchant payments","54581166","31106600000"
"delhi","2020","4","Peer-to-peer payments","49631928","171546000000"
"delhi","2020","4","Recharge & bill payments","14862946","12921800000"
"delhi","2020","4","Financial Services","114862","160008000"
"delhi","2020","4","Others","1349515","530676000"
"delhi","2021","1","Merchant payments","72615587","39861500000"
"delhi","2021","1","Peer-to-peer payments","61957428","210824000000"
"delhi","2021","1","Recharge & bill payments","21164274","15447400000"
"delhi","2021","1","Financial Services","153039","203107000"
"delhi","2021","1","Others","1468676","592745000"
"delhi","2021","2","Merchant payments","75620295","42933400000"
"delhi","2021","2","Peer-to-peer payments","68497718","223035000000"
"delhi","2021","2","Recharge & bill payments","25026678","15310100000"
"delhi","2021","2","Financial Services","158170","190020000"
"delhi","2021","2","Others","854403","472659000"
"delhi","2021","3","Merchant payments","115250887","64006900000"
"delhi","2021","3","Peer-to-peer payments","93292876","298006000000"
"delhi","2021","3","Recharge & bill payments","28427032","20934700000"
"delhi","2021","3","Financial Services","144460","220661000"
"delhi","2021","3","Others","1645353","690472000"
"delhi","2021","4","Merchant payments","149204611","88990500000"
"delhi","2021","4","Peer-to-peer payments","112380292","376557000000"
"delhi","2021","4","Recharge & bill payments","30127352","22290200000"
"delhi","2021","4","Financial Services","199280","287950000"
"delhi","2021","4","Others","771824","569713000"
"delhi","2022","1","Merchant payments","174454937","98212400000"
"delhi","2022","1","Peer-to-peer payments","125111881","415305000000"
"delhi","2022","1","Recharge & bill payments","29435981","22482900000"
"delhi","2022","1","Financial Services","195184","271039000"
"delhi","2022","1","Others","1801878","693589000"
"delhi","2022","2","Merchant payments","233412802","121658000000"
"delhi","2022","2","Peer-to-peer payments","143447534","480686000000"
"delhi","2022","2","Recharge & bill payments","32971294","26876100000"
"delhi","2022","2","Financial Services","160827","209426000"
"delhi","2022","2","Others","641727","426563000"
"delhi","2022","3","Merchant payments","276635347","134293000000"
"delhi","2022","3","Peer-to-peer payments","160580425","509429000000"
"delhi","2022","3","Recharge & bill payments","37572389","33177100000"
"delhi","2022","3","Financial Services","195218","265480000"
"delhi","2022","3","Others","608782","448676000"
"delhi","2022","4","Merchant payments","305621913","153115000000"
"delhi","2022","4","Peer-to-peer payments","171970100","559069000000"
"delhi","2022","4","Recharge & bill payments","36775874","31954300000"
"delhi","2022","4","Financial Services","228639","299455000"
"delhi","2022","4","Others","606931","477099000"
"jammu-&-kashmir","2018","1","Recharge & bill payments","457813","78812600"
"jammu-&-kashmir","2018","1","Peer-to-peer payments","353621","861670000"
"jammu-&-kashmir","2018","1","Financial Services","65683","10269400"
"jammu-&-kashmir","2018","1","Merchant payments","28696","30967500"
"jammu-&-kashmir","2018","1","Others","35755","23651600"
"jammu-&-kashmir","2018","2","Recharge & bill payments","794502","166762000"
"jammu-&-kashmir","2018","2","Peer-to-peer payments","771844","2372960000"
"jammu-&-kashmir","2018","2","Financial Services","112422","15636100"
"jammu-&-kashmir","2018","2","Merchant payments","79248","64454300"
"jammu-&-kashmir","2018","2","Others","38310","31391900"
